from_to,gdp_diff_2018,gdp_mean_2018,neighbors,share_lang,PDI_diff,MAS_diff,fb_users_diff,fb_users_perc_mean,fb_users_mean,share_cont
BE-GB,4954.630523363703,50050.80327719955,0,1,30.0,12.0,37500000.0,59.97106559048713,25250000.0,1
BE-GH,47085.2463917305,28985.495343016148,0,0,12.0,8.0,1600000.0,35.41608637266985,5700000.0,0
BE-GR,22910.570198908197,41072.8334394273,0,0,5.0,3.0,1500000.0,52.08599888225682,5750000.0,1
BE-GT,43862.77127790839,30596.732899927203,0,0,30.0,17.0,300000.0,46.14856531664503,6650000.0,0
BE-HU,20615.043883633796,42220.5965970645,0,1,19.0,34.0,1200000.0,55.43947697040551,5900000.0,1
BE-ID,40883.3599998461,32086.438538958348,0,0,13.0,8.0,130460000.0,52.38627151805808,71730000.0,0
BE-IE,32027.51626285891,68541.87667031086,0,0,37.0,14.0,3800000.0,54.74466018570785,4600000.0,1
BE-IL,12621.993854542598,46217.1216116101,0,0,52.0,7.0,623000.0,60.78544392669126,6188500.0,0
BE-IN,45852.757244773566,29601.739916494615,0,0,12.0,2.0,244500000.0,36.77531816691882,128750000.0,0
BE-IQ,41718.646128740096,31668.79547451135,0,0,15.0,2.0,14776000.0,53.08277257107464,13888000.0,0
BE-IR,38732.80107156299,33161.7180030999,0,0,7.0,11.0,33500000.0,51.10293601173737,23250000.0,0
BE-IT,9491.874761844701,47782.18115795904,0,1,15.0,16.0,23500000.0,52.74428582876271,18250000.0,1
BE-JM,42559.524046060586,31248.356515851105,0,0,20.0,14.0,5400000.0,46.27817634159826,3800000.0,0
BE-JP,10325.717422212496,47365.25982777515,0,0,11.0,41.0,21500000.0,39.0011384635679,17250000.0,0
BE-KE,48084.93943026743,28485.64882374768,0,0,1.0,13.0,500000.0,34.07936767995703,6750000.0,0
BE-KR,9501.8221482476,47777.207464757594,0,0,5.0,15.0,15336000.0,49.12355012315704,14168000.0,0
BE-KW,837.5495818338968,52109.34374796445,0,0,15.0,2.0,2407000.0,74.57356285810823,5296500.0,0
BE-LB,36473.7560829922,34291.2404973853,0,1,15.0,2.0,2533000.0,57.52487114837058,5233500.0,0
BE-LY,37149.5457752651,33953.34565124885,0,0,15.0,2.0,1406000.0,64.02844499775635,5797000.0,0
BE-MX,32431.961885447497,36312.13759615765,0,0,16.0,15.0,71500000.0,57.49694009525299,42250000.0,0
BE-MY,24288.618455162996,40383.8093112999,0,0,39.0,4.0,19020000.0,66.3089552178435,16010000.0,0
BE-NG,47249.270144180846,28903.483466790974,0,0,12.0,8.0,20620000.0,34.1094397776054,16810000.0,0
BE-NL,5298.509958786104,55177.37351827445,1,1,27.0,40.0,3300000.0,56.32272094765928,8150000.0,1
BE-NO,17280.210871802505,61168.22397478265,0,0,34.0,46.0,3100000.0,58.698621128593615,4950000.0,1
BE-NZ,9952.673620922295,47551.78172842025,0,0,43.0,4.0,3400000.0,59.49755402760711,4800000.0,0
BE-PA,20743.8040515949,42156.21651308395,0,0,30.0,10.0,4500000.0,50.34054789592652,4250000.0,0
BE-PE,39439.8227004256,32808.2071886686,0,0,1.0,12.0,13500000.0,57.540798145634874,13250000.0,0
BE-PH,43807.511159687434,30624.36295903768,0,0,29.0,10.0,65260000.0,59.744079690545625,39130000.0,0
BE-PK,47674.851981478925,28690.692548141935,0,0,10.0,4.0,30570000.0,35.92993596918284,21785000.0,0
BE-PL,20575.083505174196,42240.5767862943,0,1,3.0,10.0,7500000.0,46.401361309481814,10250000.0,1
BE-PT,17599.575005106795,43728.331036328,0,0,2.0,23.0,700000.0,56.45129386198863,6150000.0,1
BE-SA,3792.6580406596986,50631.78951855155,0,0,15.0,2.0,17220000.0,60.940281856182544,15110000.0,0
BE-SE,993.5121039474034,53024.8745908551,0,0,34.0,49.0,200000.0,58.678317342462094,6400000.0,1
BE-SG,48053.039486110596,76554.6382819367,0,0,9.0,6.0,2030000.0,65.45711020771404,5485000.0,0
BE-SL,50833.79206600089,27111.222505880953,0,0,12.0,8.0,5806600.0,32.0271678420004,3596700.0,0
BE-SV,43705.5677644622,30675.3346566503,0,0,1.0,14.0,3100000.0,53.80595308187583,4950000.0,0
BE-TH,33997.9067509281,35529.16516341735,0,0,1.0,20.0,39500000.0,60.67377220896794,26250000.0,0
BE-TR,24567.138255260397,40244.549411251195,0,0,1.0,9.0,37500000.0,53.565652071295716,25250000.0,0
BE-TZ,49875.72716125285,27590.254958254973,0,0,1.0,13.0,2229000.0,31.22699089312769,5385500.0,0
BE-US,10536.299870791408,57796.2684742771,0,0,25.0,8.0,233500000.0,63.6950257575593,123250000.0,0
BE-UY,28939.967149068096,38058.13496434735,0,0,4.0,16.0,4100000.0,62.178081617993485,4450000.0,0
BE-ZA,38319.0247055499,33368.60618610645,0,0,16.0,9.0,14780000.0,45.36593065135068,13890000.0,0
BE-ZM,48922.02090691113,28067.108085425833,0,0,1.0,13.0,4247000.0,33.639050728182355,4376500.0,0
BR-AT,41939.653202004796,35990.2648248905,0,1,58.0,30.0,135300000.0,52.676819676582184,71350000.0,0
BR-BE,37507.6803149933,33774.27838138475,0,1,4.0,5.0,132500000.0,60.12580135156806,72750000.0,0
BR-CH,56639.76861600209,43340.32253188915,0,1,35.0,21.0,135300000.0,53.358401737528766,71350000.0,0
BR-DK,42462.524176018596,36251.700311897395,0,1,51.0,33.0,135300000.0,63.97800419426759,71350000.0,0
BR-ES,25675.9494576606,27858.4129527184,0,1,12.0,7.0,116000000.0,56.88768351089464,81000000.0,0
BR-FI,34560.1669713956,32300.5217095859,0,0,36.0,23.0,136300000.0,56.57511067177751,70850000.0,0
BR-IT,28015.805553148595,29028.3410004624,0,1,19.0,21.0,109000000.0,57.163495342186366,84500000.0,0
BR-NL,42806.1902737794,36423.5333607778,0,0,31.0,35.0,129200000.0,60.74193046108293,74400000.0,0
BR-NO,54787.8911867958,42414.383817286,0,0,38.0,41.0,135600000.0,63.11783064201727,71200000.0,0
BR-SE,38501.1924189407,34271.03443335845,0,0,38.0,44.0,132700000.0,63.09752685588575,72650000.0,0
CH-AE,3084.0913172036817,70118.16118128835,0,0,46.0,18.0,5037000.0,64.41651682510945,6218500.0,0
CH-AR,48366.80820612629,47476.80273682704,0,0,15.0,14.0,26300000.0,53.68733884496869,16850000.0,0
CH-AT,14700.115413997293,64310.14913289154,1,1,23.0,9.0,0.0,41.49021054911924,3700000.0,1
CH-AU,21491.019546237883,60914.697066771245,0,0,2.0,9.0,11300000.0,49.85592907064783,9350000.0,0
CH-BE,19132.088301008793,62094.16268938579,0,1,31.0,16.0,2800000.0,48.93919222410511,5100000.0,1
CH-BR,56639.76861600209,43340.32253188915,0,1,35.0,21.0,135300000.0,53.358401737528766,71350000.0,0
CH-CL,45946.067414892386,48687.173132444,0,0,29.0,42.0,9300000.0,54.85178802716871,8350000.0,0
CH-CN,56162.84684505259,43578.7834173639,0,0,46.0,4.0,2370000.0,21.131806773130517,2515000.0,0
CH-CO,56616.15150335789,43352.131088211245,0,0,33.0,6.0,25300000.0,49.234260782169656,16350000.0,0
CH-CR,50341.16284680739,46489.625416486495,0,0,1.0,49.0,500000.0,51.95989680750726,3450000.0,0
CH-CZ,30524.71385632459,56397.8499117279,0,1,23.0,13.0,900000.0,42.50758086160032,4150000.0,1
CH-DE,16424.840535057192,63447.7865723616,1,1,1.0,4.0,27300000.0,39.56388334793459,17350000.0,1
CH-DK,14177.244439983493,64571.58461989844,0,1,16.0,54.0,0.0,52.79139506680464,3700000.0,1
CH-EC,59820.86360433159,41749.775037724394,0,0,44.0,7.0,6300000.0,48.68982911463131,6850000.0,0
CH-EG,60020.967750003794,41649.72296488829,0,0,46.0,18.0,38700000.0,41.056375415290034,23050000.0,0
CH-ES,30963.81915834149,56178.297260719446,0,1,23.0,28.0,19300000.0,45.70107438343169,13350000.0,1
CH-ET,69506.18596303141,36907.11385837448,0,0,30.0,29.0,2307000.0,23.571976038141756,4853500.0,0
CH-FI,22079.60164460649,60620.406017586945,0,0,1.0,44.0,1000000.0,45.388501544314565,3200000.0,1
CH-FR,25083.60499095198,59118.4043444142,1,1,34.0,27.0,29300000.0,46.24427285969479,18350000.0,1
CH-GB,24086.718824372496,59616.84742770394,0,1,1.0,4.0,40300000.0,53.20366597644784,23850000.0,1
CH-GH,66217.33469273928,38551.53949352055,0,0,43.0,24.0,1200000.0,28.648686758630557,4300000.0,0
CH-GR,42042.658499916986,50638.8775899317,0,0,26.0,13.0,1300000.0,45.31859926821752,4350000.0,1
