from_to,geodesic_distance_km,gdp_diff_2018,ESTAT_flow_BMI_2019_T_T_res,gdp_mean_2018,neighbors,share_rel,share_lang,PDI_diff,IDV_diff,UAI_diff,MAS_diff,fb_users_diff,fb_users_perc_diff,fb_users_perc_mean,fb_users_mean,area_diff,area_mean,share_cont
AU-GB,15200.629297835969,2595.6992781346125,0.3087066913234502,48871.337654585004,0,1,1,1.0,1.0,16.0,5.0,29000000.0,6.69547381160001,60.88780243702985,29500000.0,7450090.0,3966975.0,0
AU-IT,14379.836595079409,7132.943516615611,0.021496158176576442,46602.7155353445,0,1,0,14.0,14.0,24.0,9.0,15000000.0,7.758085711848814,53.66102267530543,22500000.0,7394290.0,3994875.0,0
AU-NL,14788.161840120369,7657.441204015195,0.09375725974575243,53997.907895659904,0,1,1,2.0,10.0,2.0,47.0,5200000.0,0.6012154740556852,57.239457794201996,12400000.0,7658350.0,3862845.0,0
AU-NO,14333.148488244886,19639.142117031595,0.048596094691903076,59988.75835216811,0,1,0,5.0,21.0,1.0,53.0,11600000.0,4.150584887812975,59.615357975136334,9200000.0,7326912.15,4028563.925,0
AU-SE,13795.575487142478,3352.443349176494,0.06108248400875996,51845.408968240554,0,1,1,5.0,19.0,22.0,56.0,8700000.0,4.109977315549941,59.59505418900481,10650000.0,7284710.0,4049665.0,0
BE-AE,5189.370752783179,16047.996983805111,0.07550301309478805,60552.11703078395,0,0,0,15.0,37.0,26.0,2.0,2237000.0,30.954649202008696,71.18391643914876,7618500.0,40740.0,50650.0,0
BE-AR,11880.988356759415,29234.719905117498,0.006868143468347299,37910.75858632265,0,1,0,16.0,29.0,8.0,2.0,23500000.0,9.496293241727173,60.45473845900799,18250000.0,2706410.0,1383485.0,0
BE-AT,807.9534970167413,4431.9728870115,0.09932809145061247,54744.10498238714,0,1,1,54.0,20.0,24.0,25.0,2800000.0,14.89796334997174,48.25761016315853,5100000.0,52240.0,56400.0,1
BE-AU,14888.404895343352,2358.9312452290906,0.028530140992947196,51348.65291626685,0,1,0,29.0,15.0,43.0,7.0,8500000.0,1.8334736930854376,56.623328684687124,10750000.0,7661740.0,3861150.0,0
BE-BR,9022.453661753409,37507.6803149933,0.007766558409316533,33774.27838138475,0,1,1,4.0,37.0,18.0,5.0,132500000.0,8.838419026847305,60.12580135156806,72750000.0,8327860.0,4194210.0,0
BE-CH,494.434160709395,19132.088301008793,0.25847451241596064,62094.16268938579,0,1,1,31.0,7.0,36.0,16.0,2800000.0,13.53479922807859,48.93919222410511,5100000.0,9236.029999999999,34898.015,1
BE-CL,12096.209573859174,26813.979113883597,0.016642407857361274,39121.1289819396,0,1,0,2.0,52.0,8.0,26.0,6500000.0,11.825191606127191,61.619187641208,9750000.0,713252.0,386906.0,0
BE-CN,7646.095477773833,37030.7585440438,0.0018658479835874453,34012.7392668595,0,0,0,15.0,55.0,54.0,12.0,5170000.0,55.614770901949186,27.899206387169812,3915000.0,9394422.9,4727491.45,0
BE-CO,8823.512241754412,37484.0632023491,0.014150013985223578,33786.086937706845,0,1,0,2.0,62.0,14.0,10.0,22500000.0,0.5901371161290925,56.00166039620895,17750000.0,1079220.0,569890.0,0
BE-CR,9054.124187110388,31209.074545798598,0.010106700698962556,36923.581265982095,0,1,0,30.0,60.0,8.0,33.0,3300000.0,6.041409166804314,58.72729642154656,4850000.0,20780.0,40670.0,0
BE-CZ,789.201334186156,11392.625555315797,0.0777055637238566,46831.8057612235,0,0,1,8.0,17.0,20.0,3.0,1900000.0,12.863222725009592,49.27498047563961,5550000.0,46920.0,53740.0,1
BE-DE,427.6401898985621,2707.2477659516007,0.09655865379659319,53881.7424218572,1,1,1,30.0,8.0,29.0,12.0,24500000.0,18.75061775234103,46.33128296197389,18750000.0,319100.0,189830.0,1
BE-DK,722.7710171831242,4954.8438610253,0.14057683155085376,55005.54046939405,0,1,1,47.0,1.0,71.0,38.0,2800000.0,7.704405685399067,59.55879468084394,5100000.0,9720.0,35140.0,1
BE-EC,9645.000452700466,40688.7753033228,0.016530283706381613,32183.730887219997,0,1,0,13.0,67.0,27.0,9.0,3500000.0,0.4987262189476027,55.4572287286706,8250000.0,218080.0,139320.0,0
BE-EG,3450.7478065480423,40888.879448994994,0.0060851259676298185,32083.6788143839,0,0,0,15.0,37.0,26.0,2.0,35900000.0,15.765633617630144,47.82377502932933,24450000.0,965170.0,512865.0,0
BE-ES,1285.8415020428197,11831.730857332695,0.22931497867956946,46612.25311021505,0,1,1,8.0,24.0,8.0,12.0,16500000.0,6.476235681346836,52.46847399747099,14750000.0,469323.479,264941.7395,1
BE-ET,5653.960351640146,50374.097662022614,0.005961102581439591,27341.06970787009,0,1,0,1.0,48.0,42.0,13.0,493000.0,50.73443237192671,30.33937565218105,6253500.0,1099020.39,579790.195,0
BE-FI,1817.063740016087,2947.513343597697,0.1017234033657372,51054.36186708255,0,1,0,32.0,12.0,35.0,28.0,3800000.0,7.101381359581097,52.155901158353856,4600000.0,273640.0,167100.0,1
BE-FR,503.97490928820696,5951.516689943186,0.4512089998404978,49552.3601939098,1,1,1,3.0,4.0,8.0,11.0,26500000.0,5.389838728820642,53.01167247373408,19750000.0,517277.0,288918.5,1
BE-GB,758.5274482424858,4954.630523363703,0.13338969688759686,50050.80327719955,0,1,1,30.0,14.0,59.0,12.0,37500000.0,8.528947504685448,59.97106559048713,25250000.0,211650.0,136105.0,1
BE-GH,4745.530252159208,47085.2463917305,0.0188355535808557,28985.495343016148,0,1,0,12.0,55.0,40.0,8.0,1600000.0,40.581010930949105,35.41608637266985,5700000.0,197260.0,128910.0,0
BE-GR,1862.087345413932,22910.570198908197,0.19893232984081816,41072.8334394273,0,1,0,5.0,40.0,18.0,3.0,1500000.0,7.241185911775183,52.08599888225682,5750000.0,98620.0,79590.0,1
BE-GT,8996.391030826586,43862.77127790839,0.0035229492357710425,30596.732899927203,0,1,0,30.0,69.0,7.0,17.0,300000.0,19.11605304299875,46.14856531664503,6650000.0,76880.0,68720.0,0
BE-HU,1162.124109963485,20615.043883633796,0.13014507142264004,42220.5965970645,0,1,1,19.0,20.0,12.0,34.0,1200000.0,0.5342297354777941,55.43947697040551,5900000.0,60980.0,60770.0,1
BE-ID,11441.038880205131,40883.3599998461,0.0012290350137872336,32086.438538958348,0,0,0,13.0,61.0,46.0,8.0,130460000.0,6.640640640172641,52.38627151805808,71730000.0,1847239.0,953899.5,0
BE-IE,930.416594493093,32027.51626285891,0.18600722140367182,68541.87667031086,0,1,0,37.0,5.0,59.0,14.0,3800000.0,1.9238633048731089,54.74466018570785,4600000.0,38610.0,49585.0,1
BE-IL,3312.8487123145014,12621.993854542598,0.056742385130593334,46217.1216116101,0,0,0,52.0,21.0,13.0,7.0,623000.0,10.157704177093706,60.78544392669126,6188500.0,8640.0,25960.0,0
BE-IN,7180.562686147292,45852.757244773566,0.0030998472844867998,29601.739916494615,0,0,0,12.0,27.0,54.0,2.0,244500000.0,37.862547342451165,36.77531816691882,128750000.0,2942910.0,1501735.0,0
BE-IQ,3717.3769940331135,41718.646128740096,0.03660292117081809,31668.79547451135,0,0,0,15.0,37.0,26.0,2.0,14776000.0,5.247638534139533,53.08277257107464,13888000.0,403848.0,232204.0,0
BE-IR,4471.588481098082,38732.80107156299,0.012431042676248375,33161.7180030999,0,0,0,7.0,34.0,35.0,11.0,33500000.0,9.207311652814077,51.10293601173737,23250000.0,1598480.0,829520.0,0
BE-IT,1143.6330520097174,9491.874761844701,0.13796806522131128,47782.18115795904,0,1,1,15.0,1.0,19.0,16.0,23500000.0,5.924612018763376,52.74428582876271,18250000.0,267450.0,164005.0,1
BE-JM,7898.596884659983,42559.524046060586,0.010527608335430254,31248.356515851105,0,1,0,20.0,36.0,81.0,14.0,5400000.0,18.856830993092288,46.27817634159826,3800000.0,19450.0,20555.0,0
BE-JP,9388.211997994184,10325.717422212496,0.013888121402382807,47365.25982777515,0,0,0,11.0,29.0,2.0,41.0,21500000.0,33.410906749153014,39.0011384635679,17250000.0,334220.0,197390.0,0
BE-KE,6431.639417421901,48084.93943026743,0.006584111308182966,28485.64882374768,0,1,0,1.0,48.0,42.0,13.0,500000.0,43.25444831637474,34.07936767995703,6750000.0,538860.0,299710.0,0
BE-KR,8942.902210712922,9501.8221482476,0.007771968296973346,47777.207464757594,0,0,0,5.0,57.0,9.0,15.0,15336000.0,13.166083429974734,49.12355012315704,14168000.0,67240.0,63900.0,0
BE-KW,4279.371877884302,837.5495818338968,0.017337962094922506,52109.34374796445,0,0,0,15.0,37.0,26.0,2.0,2407000.0,37.73394203992767,74.57356285810823,5296500.0,12460.0,24050.0,0
BE-LB,3147.2248967899586,36473.7560829922,0.13567791963847445,34291.2404973853,0,0,1,15.0,37.0,26.0,2.0,2533000.0,3.636558620452348,57.52487114837058,5233500.0,20050.0,20255.0,0
BE-LY,2895.474455756965,37149.5457752651,0.008554915128041438,33953.34565124885,0,0,0,15.0,37.0,26.0,2.0,1406000.0,16.643706319223895,64.02844499775635,5797000.0,1729260.0,894910.0,0
BE-MX,9136.893683687931,32431.961885447497,0.003881575881832257,36312.13759615765,0,1,0,16.0,45.0,12.0,15.0,71500000.0,3.5806965142171663,57.49694009525299,42250000.0,1913670.0,987115.0,0
BE-MY,10179.736385238595,24288.618455162996,0.007261124765731753,40383.8093112999,0,0,0,39.0,49.0,58.0,4.0,19020000.0,21.204726759398184,66.3089552178435,16010000.0,298270.0,179415.0,0
