from_to,ESTAT_flow_BMI_2019_T_T_res
CZ-DK,0.011401567815110751
CZ-FI,0.0036756739315687635
CZ-FR,0.0027046732178931015
CZ-IT,0.0016137245600699205
CZ-NL,0.008562817032771005
CZ-NO,0.0036831833429377537
CZ-SE,0.0048738210764829384
DE-AT,0.036685096168106064
DE-BE,0.00965586537965932
DE-CH,0.052764470659807175
DE-DK,0.016648815428690587
DE-ES,0.007856949359148135
DE-FI,0.004274238524924141
DE-FR,0.004678472068151866
DE-IT,0.005775752376390943
DE-NL,0.018127876994264516
DE-NO,0.00518148809821029
DE-SE,0.007271854619821508
DK-AE,0.012043940325782237
DK-AR,0.006296344166535281
DK-AT,0.012248524853147811
DK-AU,0.01272483868931541
DK-BE,0.014057683155085376
DK-BR,0.0007109950033047356
DK-CH,0.021689081193439236
DK-CL,0.005162470579399654
DK-CN,0.0003864473612169941
DK-CO,0.0005483349415362876
DK-CR,0.002592295085954924
DK-CZ,0.011401567815110751
DK-DE,0.016648815428690587
DK-EC,0.0005039572954317086
DK-EG,0.0004477943554800373
DK-ES,0.014879621535609905
DK-ET,0.0002480581924798911
DK-FI,0.030745235160817293
DK-FR,0.006473714989036026
DK-GB,0.01658317233267757
DK-GH,0.0008612870297733615
DK-GR,0.013795232073679668
DK-GT,0.00017608826015845627
DK-HU,0.020108769611059507
DK-ID,0.00015610754936177965
DK-IE,0.026550150667001084
DK-IL,0.004593970798433852
DK-IN,0.0004234103546579452
DK-IQ,0.0011845766382310907
DK-IR,0.0013374563308624465
DK-IT,0.007705144093178431
DK-JM,0.00040388426910488694
DK-JP,0.0010039007554039157
DK-KE,0.0008701243600539761
DK-KR,0.0011374863614991193
DK-KW,0.001454829839826572
DK-LB,0.009532943785219634
DK-LY,4.892471336076685e-05
DK-MX,0.000513180282263781
DK-MY,0.001214625387137478
DK-NG,7.94628151398101e-05
DK-NL,0.021177649053938194
DK-NO,0.1613329158991347
DK-NZ,0.017299965317674276
DK-PA,0.0013555681003931932
DK-PE,0.00032212995999770724
DK-PH,0.002022239019011335
DK-PK,0.0004075255827244378
DK-PL,0.02702368994593713
DK-PT,0.018150775918858626
DK-SA,0.00036037171028728137
DK-SE,0.11874280561105409
DK-SG,0.019096628343589443
DK-SL,0.00014514438062237324
DK-SV,2.6293585844386675e-05
DK-TH,0.002516714257888166
DK-TR,0.002705193658337864
DK-TZ,0.0002203982627459195
DK-US,0.004076842150066603
DK-UY,0.0015272326213765647
DK-ZA,0.0007257160641360795
DK-ZM,0.0003007631714396083
EC-AT,0.00044247183825788243
EC-BE,0.0016530283706381612
EC-CH,0.002823542751469917
EC-DK,0.0005039572954317086
EC-ES,0.030565007607644103
EC-FI,0.0001600831490834042
EC-IT,0.0016373152951595137
EC-NL,0.0009551554293371633
EC-NO,0.0004869869449830917
EC-SE,0.0005018806114049063
EG-AT,0.0009261836430403197
EG-BE,0.0006085125967629819
EG-CH,0.0008643321339927504
EG-DK,0.0004477943554800373
EG-FI,0.0002919264275287827
EG-IT,0.0017625363022522463
EG-NL,0.0010198312455757725
EG-NO,0.0005109389011491955
EG-SE,0.001451193581569309
ES-AR,0.01766496710639042
ES-AT,0.004280854309790801
ES-BE,0.022931497867956945
ES-BR,0.002429545237020967
ES-CH,0.02601638331936859
ES-CL,0.010840602596108988
ES-CN,0.00029717450786066274
ES-CO,0.03780536950202464
ES-DE,0.007856949359148135
ES-DK,0.014879621535609905
ES-EC,0.030565007607644103
ES-FI,0.007494356205997634
ES-FR,0.011593910640257605
ES-GB,0.02266944506884663
ES-GH,0.0016855774244141095
ES-IE,0.01987483354318112
ES-IN,0.00013386211733723276
ES-IT,0.010497863997463108
ES-MX,0.002088363652855642
ES-NG,0.00020681254996867356
ES-NL,0.016642546856487188
ES-NO,0.01565432647529702
ES-PE,0.023147455741486876
ES-PH,0.0007477975003312906
ES-PK,0.0014109404840374627
ES-PL,0.0035363778752270456
ES-PT,0.02849773117199529
ES-SE,0.011341702894107812
ES-US,0.001639158053553683
ES-UY,0.04470033968566765
ET-AT,7.848615099260432e-05
ET-BE,0.0005961102581439591
ET-CH,0.0002954603648337452
ET-DK,0.0002480581924798911
ET-FI,0.00026251259467092135
ET-IT,7.693783380276221e-05
ET-NL,0.0012778360764136715
ET-NO,0.0013049239637227428
ET-SE,0.001497650059757042
FI-AE,0.005338800552191789
FI-AR,0.00017724857436255838
FI-AT,0.005871281515415627
FI-AU,0.00405296008691042
FI-BE,0.010172340336573719
FI-BR,0.0001969193594529723
FI-CH,0.015970982314406367
FI-CL,0.0006590032946923276
FI-CN,0.00017591386686710358
FI-CO,0.00022164114856863617
FI-CR,0.00041964190443636033
FI-CZ,0.0036756739315687635
FI-DE,0.004274238524924141
FI-DK,0.030745235160817293
FI-EC,0.0001600831490834042
FI-EG,0.0002919264275287827
FI-ES,0.007494356205997634
FI-ET,0.00026251259467092135
FI-FR,0.0044000126311879405
FI-GB,0.007787828114986423
FI-GH,0.0004363502857083952
FI-GR,0.006370667907667362
FI-GT,5.851077104453423e-05
FI-HU,0.005655974758784641
FI-ID,6.038013820857177e-05
FI-IE,0.010346917710772533
FI-IL,0.0024372511759902394
FI-IN,0.00020176043834378184
FI-IQ,0.005703531674114275
FI-IR,0.0013019652496953171
FI-IT,0.0020238526396472887
FI-JM,0.00042497629650757303
FI-JP,0.0004920869505427981
FI-KE,0.0005641684628647894
FI-KR,0.000427208258525293
FI-KW,0.0006619698783525517
FI-LB,0.0010572986662190898
FI-LY,0.0004118376491925953
FI-MX,0.00015014751939131983
FI-MY,0.00038232465570942894
FI-NG,0.00013796078611576397
FI-NL,0.013139464112195269
FI-NO,0.03221018073567878
FI-NZ,0.0038478775075000728
FI-PA,0.00040753138958463
FI-PE,0.00018830696462374553
FI-PH,0.001319232492320537
FI-PK,0.000281133639434406
FI-PL,0.0032596624046040607
FI-PT,0.007089254393521092
FI-SA,0.0003943590389126677
FI-SE,0.09773366285216283
FI-SG,0.004421270158608339
FI-SL,6.545324920409276e-05
FI-SV,5.533342884988432e-05
FI-TH,0.0019136981717140925
FI-TR,0.003372444417212359
FI-TZ,0.00010020720797292966
FI-US,0.0010858337182309298
FI-UY,0.0015551508502988757
FI-ZA,0.00032513299043867406
FI-ZM,0.0018895115278307565
FR-AT,0.003172514398016186
FR-BE,0.04512089998404978
FR-CH,0.05017760203895553
FR-CZ,0.0027046732178931015
FR-DE,0.004678472068151866
FR-DK,0.006473714989036026
FR-ES,0.011593910640257605
FR-FI,0.0044000126311879405
FR-GB,0.011496482742444905
FR-GR,0.003116094113375697
FR-HU,0.002223878638504946
FR-IE,0.021310936793455856
FR-IT,0.006935197463468407
FR-NL,0.007928681622969799
FR-NO,0.0033832799108422006
FR-PL,0.001741329984158732
FR-PT,0.01630021868476549
FR-SE,0.005180143535580145
GB-AE,0.02418733652123723
GB-AT,0.003954866959293679
GB-AU,0.030870669132345017
GB-BE,0.013338969688759686
GB-CH,0.01955157982956719
GB-CN,0.0011442208248660037
GB-DK,0.01658317233267757
GB-ES,0.02266944506884663
GB-FI,0.007787828114986423
GB-FR,0.011496482742444905
GB-IN,0.0012112158764951593
GB-IT,0.010001734544791079
GB-NL,0.01674587192828925
GB-NO,0.010974066169166389
GB-PL,0.018009084724123804
GB-SE,0.011088095889508902
GB-US,0.002304537558812403
GH-AT,0.0005540378508002017
GH-BE,0.00188355535808557
GH-CH,0.0007875614503972807
GH-DK,0.0008612870297733615
GH-ES,0.0016855774244141095
GH-FI,0.0004363502857083952
GH-IT,0.0016157597923196364
GH-NL,0.001768288329361738
GH-NO,0.0010254340942268264
GH-SE,0.0005763228818012382
GR-AT,0.014283186721590594
GR-BE,0.019893232984081813
GR-CH,0.0222945790938415
GR-DK,0.013795232073679668
GR-FI,0.006370667907667362
GR-FR,0.003116094113375697
GR-IT,0.0018581164957767436
GR-NL,0.030710418296568287
GR-NO,0.013772480731992467
GR-SE,0.022996021206365094
GT-AT,0.00017615063712321535
GT-BE,0.0003522949235771043
GT-CH,0.00047231651215345986
GT-DK,0.00017608826015845627
GT-FI,5.851077104453423e-05
GT-IT,0.0001070494891808926
GT-NL,0.0003642903412842514
GT-NO,0.00013128700704434897
GT-SE,0.00013149717203358056
HU-AT,0.15806013131848895
HU-BE,0.013014507142264002
HU-CH,0.0424891975403995
HU-DK,0.020108769611059507
HU-FI,0.005655974758784641
HU-FR,0.002223878638504946
HU-IT,0.002047645827545784
HU-NL,0.023227536727882876
HU-NO,0.008027452228546068
HU-SE,0.008832022370626027
ID-AT,7.562308851565794e-05
ID-BE,0.00012290350137872337
ID-CH,0.00033122685428140614
ID-DK,0.00015610754936177965
ID-FI,6.038013820857177e-05
ID-IT,2.5932961639743213e-05
ID-NL,0.0006019840580713481
ID-NO,0.00012505985566779406
ID-SE,9.98039770735767e-05
IE-AT,0.0078489035509378
IE-BE,0.018600722140367183
IE-CH,0.0251286194578859
IE-DK,0.026550150667001084
IE-ES,0.01987483354318112
IE-FI,0.010346917710772533
IE-FR,0.021310936793455856
IE-IT,0.009721998551702417
IE-NL,0.03156123392927469
IE-NO,0.008572249576812374
IE-SE,0.011082036824011422
IL-AT,0.0035928495553677595
IL-BE,0.005674238513059334
IL-CH,0.009692834009943056
IL-DK,0.004593970798433852
IL-FI,0.0024372511759902394
IL-IT,0.0008936973880640488
IL-NL,0.00686739814315259
IL-NO,0.0011989131478984357
IL-SE,0.0025525061498742445
IN-AT,0.00014798129425819758
IN-BE,0.00030998472844868
IN-CH,0.00029894326039130143
IN-DK,0.0004234103546579452
IN-ES,0.00013386211733723276
IN-FI,0.00020176043834378184
IN-GB,0.0012112158764951593
IN-IT,0.0001783930843503455
IN-NL,0.0004805089740513174
IN-NO,0.000327158754069889
IN-SE,0.0006013160449509055
IQ-AT,0.0028136968247842145
IQ-BE,0.0036602921170818094
IQ-CH,0.0006134123324319312
IQ-DK,0.0011845766382310907
IQ-FI,0.005703531674114275
IQ-IT,0.0004361327371455706
IQ-NL,0.0022725345326458923
IQ-NO,0.0019184214854759732
IQ-SE,0.008839578840499197
IR-AT,0.002224243191472153
IR-BE,0.0012431042676248375
IR-CH,0.0007836473975314919
IR-DK,0.0013374563308624465
IR-FI,0.0013019652496953171
IR-IT,0.00040636661147773007
IR-NL,0.0021612194497220385
IR-NO,0.0010974196378269647
IR-SE,0.004503257941436642
IT-AE,0.0022037650712323944
IT-AR,0.002835571252646776
IT-AT,0.0101075207837378
IT-AU,0.0021496158176576444
IT-BE,0.013796806522131128
IT-BR,0.002978791184107969
IT-CH,0.04346854811514362
IT-CL,0.0005010931039931178
IT-CN,0.00016880814233112697
IT-CO,0.0007551953252150171
IT-CR,0.0008548630468335001
IT-CZ,0.0016137245600699205
IT-DE,0.005775752376390943
IT-DK,0.007705144093178431
IT-EC,0.0016373152951595137
IT-EG,0.0017625363022522463
IT-ES,0.010497863997463108
IT-ET,7.693783380276221e-05
IT-FI,0.0020238526396472887
IT-FR,0.006935197463468407
IT-GB,0.010001734544791079
IT-GH,0.0016157597923196364
IT-GR,0.0018581164957767436
IT-GT,0.0001070494891808926
IT-HU,0.002047645827545784
IT-ID,2.5932961639743213e-05
IT-IE,0.009721998551702417
IT-IL,0.0008936973880640488
IT-IN,0.0001783930843503455
IT-IQ,0.0004361327371455706
IT-IR,0.00040636661147773007
IT-JM,9.520695073913377e-05
IT-JP,0.0001529539035238739
IT-KE,0.00011955008157654843
IT-KR,0.00019411254162501632
IT-KW,0.00037783875988653507
IT-LB,0.0013404509723193843
IT-LY,0.0013961640680061225
IT-MX,0.0001540094431167793
IT-MY,6.650606682182126e-05
IT-NG,0.0005406059772329789
IT-NL,0.008828922399076277
IT-NO,0.0028269689649573324
IT-NZ,0.0009897806609630258
IT-PA,0.0007255568412393789
IT-PE,0.0021678739926847108
IT-PH,0.0005142710816810816
IT-PK,0.000889324802364883
IT-PL,0.0019459301914885251
IT-PT,0.003922155295994366
IT-SA,9.561017760772268e-05
IT-SE,0.004631206056672966
IT-SG,0.0009253968476432593
IT-SL,0.00028378022942808804
IT-SV,0.0028941678107844513
IT-TH,0.00021303268845894381
IT-TR,0.0003208839995008459
IT-TZ,4.3578063629649925e-05
IT-US,0.0004368116737662273
IT-UY,0.001578040969815114
IT-ZA,0.00011942007432500704
IT-ZM,3.5203871877684235e-05
JM-AT,0.00045378440138386196
JM-BE,0.0010527608335430254
JM-CH,0.0019995125674094794
JM-DK,0.00040388426910488694
JM-FI,0.00042497629650757303
JM-IT,9.520695073913377e-05
JM-NL,0.0011824253351684461
JM-NO,0.0008173420532504022
JM-SE,0.0009168885141563993
JP-AT,0.0004808868495849917
JP-BE,0.0013888121402382807
JP-CH,0.001682100616889011
JP-DK,0.0010039007554039157
JP-FI,0.0004920869505427981
JP-IT,0.0001529539035238739
JP-NL,0.001099808602567003
JP-NO,0.0003198122297635518
JP-SE,0.0006149026916879245
KE-AT,0.0002891577910255782
KE-BE,0.0006584111308182966
KE-CH,0.0010929929346969408
KE-DK,0.0008701243600539761
KE-FI,0.0005641684628647894
KE-IT,0.00011955008157654843
KE-NL,0.000762721851229859
KE-NO,0.0011918807277380347
KE-SE,0.0018101448111170482
KR-AT,0.0010885819222421034
KR-BE,0.0007771968296973346
KR-CH,0.002316515827138522
KR-DK,0.0011374863614991193
KR-FI,0.000427208258525293
KR-IT,0.00019411254162501632
KR-NL,0.00164357307226381
KR-NO,0.0008336484383947662
KR-SE,0.0009578865779192515
KW-AT,0.0006184877992480734
KW-BE,0.0017337962094922507
KW-CH,0.0015229315915013958
KW-DK,0.001454829839826572
KW-FI,0.0006619698783525517
KW-IT,0.00037783875988653507
KW-NL,0.002100354462651348
KW-NO,0.001970924108578834
KW-SE,0.0038829279079442766
LB-AT,0.0017055171886994052
LB-BE,0.013567791963847445
LB-CH,0.012045055629042657
LB-DK,0.009532943785219634
LB-FI,0.0010572986662190898
LB-IT,0.0013404509723193843
LB-NL,0.0072103326720351505
LB-NO,0.020073954886759608
LB-SE,0.015558457533825064
LY-AT,0.001603273865034356
LY-BE,0.0008554915128041438
LY-CH,0.0013962804078358662
LY-DK,4.892471336076685e-05
LY-FI,0.0004118376491925953
LY-IT,0.0013961640680061225
LY-NL,0.0023011308720103634
LY-NO,0.010449270100397907
LY-SE,0.0018465009613068812
MX-AT,0.00029344007114064075
MX-BE,0.0003881575881832257
MX-CH,0.001338799242865535
MX-DK,0.000513180282263781
MX-ES,0.002088363652855642
MX-FI,0.00015014751939131983
MX-IT,0.0001540094431167793
MX-NL,0.0005163414435143813
MX-NO,0.00026819046764280335
MX-SE,0.000280850561819585
MY-AT,0.0002585529563704934
MY-BE,0.0007261124765731752
MY-CH,0.001774146773215986
MY-DK,0.001214625387137478
MY-FI,0.00038232465570942894
MY-IT,6.650606682182126e-05
MY-NL,0.0012834805877051485
MY-NO,0.0009219676762939967
MY-SE,0.0006422181766938283
NG-AT,0.00046091053667458637
NG-BE,0.00024205092083130238
NG-CH,0.00018682505099657155
NG-DK,7.94628151398101e-05
NG-ES,0.00020681254996867356
NG-FI,0.00013796078611576397
NG-IT,0.0005406059772329789
NG-NL,0.00023732894089570843
NG-NO,0.0001264207599354258
NG-SE,0.00023631693032280082
NL-AE,0.012775844919084092
NL-AR,0.0008438591837644749
NL-AT,0.01265196122931125
NL-AU,0.009375725974575243
NL-BE,0.10066364226949379
NL-BR,0.0009600255627999761
NL-CH,0.02244902116207393
NL-CL,0.0015870868469137541
NL-CN,0.000377505937810733
NL-CO,0.0012434682121912149
NL-CR,0.0028248497190159344
NL-CZ,0.008562817032771005
NL-DE,0.018127876994264516
NL-DK,0.021177649053938194
NL-EC,0.0009551554293371633
NL-EG,0.0010198312455757725
NL-ES,0.016642546856487188
NL-ET,0.0012778360764136715
NL-FI,0.013139464112195269
NL-FR,0.007928681622969799
NL-GB,0.01674587192828925
NL-GH,0.001768288329361738
NL-GR,0.030710418296568287
NL-GT,0.0003642903412842514
NL-HU,0.023227536727882876
NL-ID,0.0006019840580713481
NL-IE,0.03156123392927469
NL-IL,0.00686739814315259
NL-IN,0.0004805089740513174
NL-IQ,0.0022725345326458923
NL-IR,0.0021612194497220385
NL-IT,0.008828922399076277
NL-JM,0.0011824253351684461
NL-JP,0.001099808602567003
NL-KE,0.000762721851229859
NL-KR,0.00164357307226381
NL-KW,0.002100354462651348
NL-LB,0.0072103326720351505
NL-LY,0.0023011308720103634
NL-MX,0.0005163414435143813
NL-MY,0.0012834805877051485
NL-NG,0.00023732894089570843
NL-NO,0.014964755457125266
NL-NZ,0.015215316338396342
NL-PA,0.0023811643899923525
NL-PE,0.0008451633684665995
NL-PH,0.0007169311250144186
NL-PK,0.0002907162769257879
NL-PL,0.0444828899172993
NL-PT,0.027060480160606082
NL-SA,0.0013672811649875895
NL-SE,0.015757943090027544
NL-SG,0.01753355530657969
NL-SL,0.0010658071039571211
NL-SV,0.0005388459789883193
NL-TH,0.0014656062341513348
NL-TR,0.009187100669057913
NL-TZ,0.0002650978095989592
NL-US,0.002256937542872011
NL-UY,0.001837178990355674
NL-ZA,0.0034123893100698323
NL-ZM,0.00035365328247299736
NO-AE,0.006571367831758928
NO-AR,0.0005180453533720561
NO-AT,0.005826094519962066
NO-AU,0.004859609469190307
NO-BE,0.00869957937160781
NO-BR,0.0006065625897038435
NO-CH,0.01614424785004762
NO-CL,0.001462428457980729
NO-CN,0.00011700282007491733
NO-CO,0.0006485204413568744
NO-CR,0.0013037488210035056
NO-CZ,0.0036831833429377537
NO-DE,0.00518148809821029
NO-DK,0.1613329158991347
NO-EC,0.0004869869449830917
NO-EG,0.0005109389011491955
NO-ES,0.01565432647529702
NO-ET,0.0013049239637227428
NO-FI,0.03221018073567878
NO-FR,0.0033832799108422006
NO-GB,0.010974066169166389
NO-GH,0.0010254340942268264
NO-GR,0.013772480731992467
NO-GT,0.00013128700704434897
NO-HU,0.008027452228546068
NO-ID,0.00012505985566779406
NO-IE,0.008572249576812374
NO-IL,0.0011989131478984357
NO-IN,0.000327158754069889
NO-IQ,0.0019184214854759732
NO-IR,0.0010974196378269647
NO-IT,0.0028269689649573324
NO-JM,0.0008173420532504022
NO-JP,0.0003198122297635518
NO-KE,0.0011918807277380347
NO-KR,0.0008336484383947662
NO-KW,0.001970924108578834
NO-LB,0.020073954886759608
NO-LY,0.010449270100397907
NO-MX,0.00026819046764280335
NO-MY,0.0009219676762939967
NO-NG,0.0001264207599354258
NO-NL,0.014964755457125266
NO-NZ,0.004751201057095311
NO-PA,0.0009284907272660981
NO-PE,0.0004345970418729375
NO-PH,0.003261204432824938
NO-PK,0.0005822863844660302
NO-PL,0.03774579137343028
NO-PT,0.010355030716916288
NO-SA,0.0005550049886500208
NO-SE,0.12741110032928116
NO-SG,0.009441566660613965
NO-SL,9.037821753213481e-05
NO-SV,0.0005443835745774166
NO-TH,0.0034655312806887825
NO-TR,0.003359774636754213
NO-TZ,0.0002668500272724573
NO-US,0.0015180108637228753
NO-UY,0.0002684201387110198
NO-ZA,0.0006178148755880832
NO-ZM,0.0004241309928258855
NZ-AT,0.001981928577894655
NZ-BE,0.002655429150349165
NZ-CH,0.015912903267171735
NZ-DK,0.017299965317674276
NZ-FI,0.0038478775075000728
NZ-IT,0.0009897806609630258
NZ-NL,0.015215316338396342
NZ-NO,0.004751201057095311
NZ-SE,0.007144350606124848
